momento,aluno_id,pergunta_id,acertou,tema,dificuldade,tempo_segundos
2025-11-04T12:28:20,ems,25,1,Agentes Inteligentes,facil,0.0
2025-11-04T12:28:32,ems,26,0,Agentes Inteligentes,medio,0.0
2025-11-04T12:29:07,ems,27,1,Agentes Inteligentes,dificil,0.0
2025-11-04T12:42:54,ems,23,1,Ética em IA,medio,0.0
2025-11-04T12:43:07,ems,22,1,Ética em IA,medio,0.0
2025-11-04T12:43:29,ems,40,1,Ética em IA,dificil,0.0
2025-11-04T12:43:39,ems,24,1,Ética em IA,dificil,0.0
2025-11-04T12:43:46,ems,21,1,Ética em IA,facil,0.0
2025-11-04T14:28:37,ems,7,1,Busca,facil,29.998
2025-11-04T14:28:42,ems,10,1,Busca,dificil,5.376
2025-11-04T14:28:45,ems,9,1,Busca,medio,3.549
2025-11-04T14:28:49,ems,8,1,Busca,medio,3.292
2025-11-04T14:28:51,ems,6,1,Busca,facil,1.95
2025-11-28T16:08:43,ems,25,1,Agentes Inteligentes,facil,7.481
2025-11-28T16:08:58,ems,26,0,Agentes Inteligentes,medio,14.484
2025-11-28T16:09:05,ems,27,0,Agentes Inteligentes,dificil,7.372
2025-11-28T16:23:01,ems,44,1,Teorema de Bayes,medio,9.72
2025-11-28T16:23:37,ems,46,0,Teorema de Bayes,medio,35.909
2025-11-28T16:23:39,ems,47,0,Teorema de Bayes,dificil,2.472
2025-11-28T16:44:57,ems,46,1,Teorema de Bayes,medio,4.354
2025-11-28T16:45:30,ems,48,0,Teorema de Bayes,dificil,33.127
2025-11-28T16:45:51,ems,45,1,Teorema de Bayes,medio,21.115
2025-11-28T16:45:56,ems,44,1,Teorema de Bayes,medio,4.851
2025-11-28T16:47:21,ems,41,1,Teorema de Bayes,facil,85.017
2025-11-28T16:58:57,ems,26,1,Agentes Inteligentes,medio,9.666
2025-11-28T16:59:07,ems,27,1,Agentes Inteligentes,dificil,9.239
2025-12-02T16:46:05,ems,27,1,Agentes Inteligentes,dificil,9.15
2025-12-02T16:46:56,ems,26,1,Agentes Inteligentes,medio,43.966
2025-12-02T16:47:42,ems,44,1,Teorema de Bayes,medio,9.023
2025-12-02T16:47:54,ems,42,1,Teorema de Bayes,facil,8.986
2025-12-02T16:48:07,ems,49,1,Teorema de Bayes,dificil,9.69
2025-12-02T16:48:43,ems,50,1,Teorema de Bayes,dificil,33.92
2025-12-02T16:48:56,ems,46,0,Teorema de Bayes,medio,7.589
2025-12-08T15:06:56,ems,24,1,Ética em IA,dificil,21.631
2025-12-08T15:07:02,ems,22,1,Ética em IA,medio,6.566
2025-12-08T15:07:12,ems,40,1,Ética em IA,dificil,9.673
2025-12-08T15:20:59,ems,27,1,Agentes Inteligentes,dificil,175.081
2025-12-08T15:21:01,ems,26,1,Agentes Inteligentes,medio,2.823
2025-12-08T15:21:10,ems,23,1,Ética em IA,medio,4.758
2025-12-08T15:21:13,ems,39,1,Ética em IA,facil,3.115
2025-12-08T15:21:16,ems,40,1,Ética em IA,dificil,3.458
2025-12-08T15:21:20,ems,22,1,Ética em IA,medio,3.152
2025-12-08T15:21:37,ems,24,1,Ética em IA,dificil,17.131
